[15-Aug-2016 06:28:40 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Http/routes.php on line 20
[15-Aug-2016 06:47:43 UTC] PHP   7. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP   8. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP   9. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  10. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[15-Aug-2016 06:47:43 UTC] PHP  12. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[15-Aug-2016 06:47:43 UTC] PHP  13. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[15-Aug-2016 06:47:43 UTC] PHP  14. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:246
[15-Aug-2016 06:47:43 UTC] PHP  15. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[15-Aug-2016 06:47:43 UTC] PHP  16. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:699
[15-Aug-2016 06:47:43 UTC] PHP  17. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:726
[15-Aug-2016 06:47:43 UTC] PHP  18. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Aug-2016 06:47:43 UTC] PHP  19. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Aug-2016 06:47:43 UTC] PHP  20. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  21. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  22. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  23. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  24. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[15-Aug-2016 06:47:43 UTC] PHP  25. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  26. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  27. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  28. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  29. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[15-Aug-2016 06:47:43 UTC] PHP  30. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  31. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  32. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  33. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  34. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:64
[15-Aug-2016 06:47:43 UTC] PHP  35. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  37. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  38. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  39. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[15-Aug-2016 06:47:43 UTC] PHP  40. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  41. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  42. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  43. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  44. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:64
[15-Aug-2016 06:47:43 UTC] PHP  45. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  46. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:43 UTC] PHP  47. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:43 UTC] PHP  48. App\Http\Middleware\Locale->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP Fatal error:  Class 'App\Http\Middleware\App' not found in /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Http/Middleware/Locale.php on line 29
[15-Aug-2016 06:47:54 UTC] PHP Stack trace:
[15-Aug-2016 06:47:54 UTC] PHP   1. {main}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:0
[15-Aug-2016 06:47:54 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:54
[15-Aug-2016 06:47:54 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[15-Aug-2016 06:47:54 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132
[15-Aug-2016 06:47:54 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Aug-2016 06:47:54 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Aug-2016 06:47:54 UTC] PHP   7. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP   8. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP   9. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  10. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[15-Aug-2016 06:47:54 UTC] PHP  12. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[15-Aug-2016 06:47:54 UTC] PHP  13. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[15-Aug-2016 06:47:54 UTC] PHP  14. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:246
[15-Aug-2016 06:47:54 UTC] PHP  15. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[15-Aug-2016 06:47:54 UTC] PHP  16. Illuminate\Routing\Router->runRouteWithinStack() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:699
[15-Aug-2016 06:47:54 UTC] PHP  17. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:726
[15-Aug-2016 06:47:54 UTC] PHP  18. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Aug-2016 06:47:54 UTC] PHP  19. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Aug-2016 06:47:54 UTC] PHP  20. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  21. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  22. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  23. Illuminate\Cookie\Middleware\EncryptCookies->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  24. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59
[15-Aug-2016 06:47:54 UTC] PHP  25. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  26. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  27. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  28. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  29. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[15-Aug-2016 06:47:54 UTC] PHP  30. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  31. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  32. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  33. Illuminate\Session\Middleware\StartSession->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  34. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:64
[15-Aug-2016 06:47:54 UTC] PHP  35. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  36. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  37. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  38. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  39. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[15-Aug-2016 06:47:54 UTC] PHP  40. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  41. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  42. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  43. Illuminate\Foundation\Http\Middleware\VerifyCsrfToken->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  44. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:64
[15-Aug-2016 06:47:54 UTC] PHP  45. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  46. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[15-Aug-2016 06:47:54 UTC] PHP  47. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[15-Aug-2016 06:47:54 UTC] PHP  48. App\Http\Middleware\Locale->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
